JV-1010 PR-B				
				
PC	MSB	LSB	Name	Category
				
1	81	1	Dist Gtr 1	DGT (DIST.GUITAR)
2	81	1	Dist Gtr 2	DGT (DIST.GUITAR)
3	81	1	R&R Chunk	DGT (DIST.GUITAR)
4	81	1	Phripphuzz	DGT (DIST.GUITAR)
5	81	1	Grungeroni	DGT (DIST.GUITAR)
6	81	1	Black Widow	DGT (DIST.GUITAR)
7	81	1	Velo-Wah Gtr	EGT (EL.GUITAR)
8	81	1	Mod-Wah Gtr	DGT (DIST.GUITAR)
9	81	1	Pick Bass	BS (BASS)
10	81	1	Hip Bass	BS (BASS)
11	81	1	Perc.Bass	BS (BASS)
12	81	1	Homey Bass	BS (BASS)
13	81	1	Finger Bass	BS (BASS)
14	81	1	Nylon Bass	BS (BASS)
15	81	1	Ac.Upright	BS (BASS)
16	81	1	Wet Fretls	BS (BASS)
17	81	1	Fretls Dry	BS (BASS)
18	81	1	Slap Bass 1	BS (BASS)
19	81	1	Slap Bass 2	BS (BASS)
20	81	1	Slap Bass 3	BS (BASS)
21	81	1	Slap Bass 4	BS (BASS)
22	81	1	4 Pole Bass	SBS (SYNTH BASS)
23	81	1	Tick Bass	SBS (SYNTH BASS)
24	81	1	House Bass	SBS (SYNTH BASS)
25	81	1	Mondo Bass	SBS (SYNTH BASS)
26	81	1	Clk AnalogBs	SBS (SYNTH BASS)
27	81	1	Bass In Face	SBS (SYNTH BASS)
28	81	1	101 Bass	SBS (SYNTH BASS)
29	81	1	Noiz Bass	SBS (SYNTH BASS)
30	81	1	Super Jup Bs	SBS (SYNTH BASS)
31	81	1	Occitan Bass	SBS (SYNTH BASS)
32	81	1	Hugo Bass	SBS (SYNTH BASS)
33	81	1	Multi Bass	SBS (SYNTH BASS)
34	81	1	Moist Bass	SBS (SYNTH BASS)
35	81	1	BritelowBass	SBS (SYNTH BASS)
36	81	1	Untamed Bass	SBS (SYNTH BASS)
37	81	1	Rubber Bass	SBS (SYNTH BASS)
38	81	1	Stereoww Bs	SBS (SYNTH BASS)
