JV-1010 PR-D(GM)				
				
PC	MSB	LSB	Name	Category
				
1	81	3	Piano 1	PNO (AC.PIANO)
2	81	3	Piano 2	PNO (AC.PIANO)
3	81	3	Piano 3	PNO (AC.PIANO)
4	81	3	Honky-tonk	PNO (AC.PIANO)
5	81	3	E.Piano 1	EP (EL.PIANO)
6	81	3	E.Piano 2	EP (EL.PIANO)
7	81	3	Harpsichord	KEY (KEYBOARDS)
8	81	3	Clav.	KEY (KEYBOARDS)
9	81	3	Celesta	KEY (KEYBOARDS)
10	81	3	Glockenspiel	BEL (BELL)
11	81	3	Music Box	BEL (BELL)
12	81	3	Vibraphone	MLT (MALLET)
13	81	3	Marimba	MLT (MALLET)
14	81	3	Xylophone	MLT (MALLET)
15	81	3	Tubular-bell	BEL (BELL)
16	81	3	Santur	PLK (PLUCKED)
17	81	3	Organ 1	ORG (ORGAN)
18	81	3	Organ 2	ORG (ORGAN)
19	81	3	Organ 3	ORG (ORGAN)
20	81	3	Church Org.1	ORG (ORGAN)
21	81	3	Reed Organ	ORG (ORGAN)
22	81	3	Accordion Fr	ACD (ACCORDION)
23	81	3	Harmonica	HRM (HARMONICA)
24	81	3	Bandoneon	ACD (ACCORDION)
25	81	3	Nylon-str.Gt	AGT (AC.GUITAR)
26	81	3	Steel-str.Gt	AGT (AC.GUITAR)
27	81	3	Jazz Gt.	EGT (EL.GUITAR)
28	81	3	Clean Gt.	EGT (EL.GUITAR)
29	81	3	Muted Gt.	EGT (EL.GUITAR)
30	81	3	Overdrive Gt	DGT (DIST.GUITAR)
31	81	3	DistortionGt	DGT (DIST.GUITAR)
32	81	3	Gt.Harmonics	EGT (EL.GUITAR)
33	81	3	Acoustic Bs.	BS (BASS)
34	81	3	Fingered Bs.	BS (BASS)
35	81	3	Picked Bs.	BS (BASS)
36	81	3	Fretless Bs.	BS (BASS)
37	81	3	Slap Bass 1	BS (BASS)
38	81	3	Slap Bass 2	BS (BASS)
39	81	3	Synth Bass 1	SBS (SYNTH BASS)
40	81	3	Synth Bass 2	SBS (SYNTH BASS)
41	81	3	Violin	STR (STRINGS)
42	81	3	Viola	STR (STRINGS)
43	81	3	Cello	STR (STRINGS)
44	81	3	Contrabass	STR (STRINGS)
45	81	3	Tremolo Str	STR (STRINGS)
46	81	3	PizzicatoStr	STR (STRINGS)
47	81	3	Harp	PLK (PLUCKED)
48	81	3	Timpani	PRC (PERCUSSION)
49	81	3	Strings	STR (STRINGS)
50	81	3	Slow Strings	STR (STRINGS)
51	81	3	Syn.Strings1	SPD (SOFT PAD)
52	81	3	Syn.Strings2	SPD (SOFT PAD)
53	81	3	Choir Aahs	VOX (VOX)
54	81	3	Voice Oohs	VOX (VOX)
55	81	3	SynVox	VOX (VOX)
56	81	3	OrchestraHit	HIT (HIT&STAB)
57	81	3	Trumpet	BRS (AC.BRASS)
58	81	3	Trombone	BRS (AC.BRASS)
59	81	3	Tuba	BRS (AC.BRASS)
60	81	3	MutedTrumpet	BRS (AC.BRASS)
61	81	3	French Horn	BRS (AC.BRASS)
62	81	3	Brass 1	BRS (AC.BRASS)
63	81	3	Synth Brass1	SBR (SYNTH BRASS)
64	81	3	Synth Brass2	SBR (SYNTH BRASS)
65	81	3	Soprano Sax	SAX (SAX)
66	81	3	Alto Sax	SAX (SAX)
67	81	3	Tenor Sax	SAX (SAX)
68	81	3	Baritone Sax	SAX (SAX)
69	81	3	Oboe	WND (WIND)
70	81	3	English Horn	WND (WIND)
71	81	3	Bassoon	WND (WIND)
72	81	3	Clarinet	WND (WIND)
73	81	3	Piccolo	FLT (FLUTE)
74	81	3	Flute	FLT (FLUTE)
75	81	3	Recorder	FLT (FLUTE)
76	81	3	Pan Flute	FLT (FLUTE)
77	81	3	Bottle Blow	FLT (FLUTE)
78	81	3	Shakuhachi	ETH (ETHNIC)
79	81	3	Whistle	FLT (FLUTE)
80	81	3	Ocarina	FLT (FLUTE)
81	81	3	Square Wave	HLD (HARD LEAD)
82	81	3	Saw Wave	HLD (HARD LEAD)
83	81	3	Syn.Calliope	SLD (SOFT LEAD)
84	81	3	Chiffer Lead	SLD (SOFT LEAD)
85	81	3	Charang	HLD (HARD LEAD)
86	81	3	Solo Vox	SLD (SOFT LEAD)
87	81	3	5th Saw Wave	HLD (HARD LEAD)
88	81	3	Bass & Lead	HLD (HARD LEAD)
89	81	3	Fantasia	SYN (OTHER SYNTH)
90	81	3	Warm Pad	SPD (SOFT PAD)
91	81	3	Polysynth	SYN (OTHER SYNTH)
92	81	3	Space Voice	VOX (VOX)
93	81	3	Bowed Glass	SPD (SOFT PAD)
94	81	3	Metal Pad	BPD (BRIGHT PAD)
95	81	3	Halo Pad	BPD (BRIGHT PAD)
96	81	3	Sweep Pad	SPD (SOFT PAD)
97	81	3	Ice Rain	SYN (OTHER SYNTH)
98	81	3	Soundtrack	SPD (SOFT PAD)
99	81	3	Crystal	BEL (BELL)
100	81	3	Atmosphere	AGT (AC.GUITAR)
101	81	3	Brightness	SYN (OTHER SYNTH)
102	81	3	Goblin	PLS (PULSATING)
103	81	3	Echo Drops	BPD (BRIGHT PAD)
