JV-1010 XP-A(Session2)				
				
PC	MSB	LSB	Name	Category
				
1	84	1	Quixelate	SYN (OTHER SYNTH)
2	84	1	Trangoa Wave	HLD (HARD LEAD)
3	84	1	Spiked Cheez	SYN (OTHER SYNTH)
4	84	1	Glassy Cheez	SYN (OTHER SYNTH)
5	84	1	Super 808Cow	SYN (OTHER SYNTH)
6	84	1	Arpeggiatoid	SYN (OTHER SYNTH)
7	84	1	Euro Hit 1	HIT (HIT&STAB)
8	84	1	Euro Hit 2	HIT (HIT&STAB)
9	84	1	Rave Slice	HIT (HIT&STAB)
10	84	1	Str Torture	SYN (OTHER SYNTH)
11	84	1	Juno Harpsi	SYN (OTHER SYNTH)
12	84	1	Big Mess Pad	SYN (OTHER SYNTH)
13	84	1	Harpsichoir	KEY (KEYBOARDS)
14	84	1	Echo Juno	SYN (OTHER SYNTH)
15	84	1	Phazerave	TEK (TECHNO SYNTH)
16	84	1	DanceStack 1	TEK (TECHNO SYNTH)
17	84	1	DanceStack 2	TEK (TECHNO SYNTH)
18	84	1	DanceStack 3	TEK (TECHNO SYNTH)
19	84	1	DanceStack 4	TEK (TECHNO SYNTH)
20	84	1	DanceStack 5	TEK (TECHNO SYNTH)
21	84	1	DanceStack 6	TEK (TECHNO SYNTH)
22	84	1	DanceStack 7	TEK (TECHNO SYNTH)
23	84	1	DanceStack 8	TEK (TECHNO SYNTH)
24	84	1	Eurotek Brs	TEK (TECHNO SYNTH)
25	84	1	Synergy Brs	SBR (SYNTH BRASS)
26	84	1	PortaSynthex	SYN (OTHER SYNTH)
27	84	1	Razor VCOs	SYN (OTHER SYNTH)
28	84	1	Big PWM	SYN (OTHER SYNTH)
29	84	1	Flutey Stack	SYN (OTHER SYNTH)
30	84	1	Wobbly 5th	SYN (OTHER SYNTH)
31	84	1	Tekno Square	TEK (TECHNO SYNTH)
32	84	1	Trance VoXxX	TEK (TECHNO SYNTH)
33	84	1	Random Rave	TEK (TECHNO SYNTH)
34	84	1	Raver Circus	TEK (TECHNO SYNTH)
35	84	1	Resorave	TEK (TECHNO SYNTH)
36	84	1	Flangomatic	SYN (OTHER SYNTH)
37	84	1	O-Zu-Nu	FX (SYNTH FX)
38	84	1	Sub Divided	SYN (OTHER SYNTH)
39	84	1	Ancient Sqr	SYN (OTHER SYNTH)
40	84	1	Fat Flange	SYN (OTHER SYNTH)
41	84	1	Phaze NRG	SYN (OTHER SYNTH)
42	84	1	Phase Vox	VOX (VOX)
43	84	1	Systekno	TEK (TECHNO SYNTH)
44	84	1	On the move!	HLD (HARD LEAD)
45	84	1	XP'ration	PLS (PULSATING)
46	84	1	Big Ensemble	SYN (OTHER SYNTH)
47	84	1	Lazerette	SYN (OTHER SYNTH)
48	84	1	Fazed String	SPD (SOFT PAD)
49	84	1	Combing Slow	BPD (BRIGHT PAD)
50	84	1	Jet Stack	BPD (BRIGHT PAD)
51	84	1	Phazeslopad	BPD (BRIGHT PAD)
52	84	1	Rize Mass	FX (SYNTH FX)
53	84	1	Portent	FX (SYNTH FX)
54	84	1	DCO Sweeper	FX (SYNTH FX)
55	84	1	Sweep Rain	FX (SYNTH FX)
56	84	1	Sweep Stack	FX (SYNTH FX)
57	84	1	Big Vectors	FX (SYNTH FX)
58	84	1	Poly Swell	SPD (SOFT PAD)
59	84	1	Alchemy	FX (SYNTH FX)
60	84	1	Soli-na	SYN (OTHER SYNTH)
61	84	1	90s Str Mach	SYN (OTHER SYNTH)
62	84	1	Ultra Cheez	BPD (BRIGHT PAD)
63	84	1	Juno-60 Pad	SPD (SOFT PAD)
64	84	1	Progressive	SYN (OTHER SYNTH)
65	84	1	Build-Up Syn	SYN (OTHER SYNTH)
66	84	1	Atlantis 2	FX (SYNTH FX)
67	84	1	Perelandra	FX (SYNTH FX)
68	84	1	Plutonium	FX (SYNTH FX)
69	84	1	Nautilus	FX (SYNTH FX)
70	84	1	Metal Dreams	FX (SYNTH FX)
71	84	1	Glass Clouds	FX (SYNTH FX)
72	84	1	Harmonicloud	FX (SYNTH FX)
73	84	1	Shining Veil	FX (SYNTH FX)
74	84	1	Ethereal JX	FX (SYNTH FX)
75	84	1	Striking 5th	FX (SYNTH FX)
76	84	1	Meow 5ths	FX (SYNTH FX)
77	84	1	Stepflanger	FX (SYNTH FX)
78	84	1	Happy LFOs	PLS (PULSATING)
79	84	1	Aero Insect	PLS (PULSATING)
80	84	1	Beat Sweeper	PLS (PULSATING)
81	84	1	Wormy Lead	HLD (HARD LEAD)
82	84	1	Atmo Lead	SLD (SOFT LEAD)
83	84	1	Caliolead	SLD (SOFT LEAD)
84	84	1	Tweedles	HLD (HARD LEAD)
85	84	1	Raw PWM	HLD (HARD LEAD)
86	84	1	Voc Solo 5th	SLD (SOFT LEAD)
87	84	1	Dirty Lead	HLD (HARD LEAD)
88	84	1	Boostweeper1	FX (SYNTH FX)
89	84	1	Boostweeper2	FX (SYNTH FX)
90	84	1	B3 Filth	ORG (ORGAN)
91	84	1	Phazed Organ	ORG (ORGAN)
92	84	1	VSw Vibrafon	MLT (MALLET)
93	84	1	SA Vibe	MLT (MALLET)
94	84	1	Rich Vibes	MLT (MALLET)
95	84	1	SpaceGamelan	MLT (MALLET)
96	84	1	Toy Vibe	MLT (MALLET)
97	84	1	Analog Bomb	SFX (SOUND FX)
98	84	1	Seashore 2	SFX (SOUND FX)
99	84	1	Creation	FX (SYNTH FX)
100	84	1	Cyberjunkie	FX (SYNTH FX)
101	84	1	Sci-Fi Bells	FX (SYNTH FX)
102	84	1	Shine on	FX (SYNTH FX)
103	84	1	DEMO Piano1	PNO (AC.PIANO)
104	84	1	DEMO Piano2	PNO (AC.PIANO)
105	84	1	DEMO PnoVox	PNO (AC.PIANO)
106	84	1	DEMO Str 1	STR (STRINGS)
107	84	1	DEMO Str 2	STR (STRINGS)
108	84	1	DEMO Str 3	STR (STRINGS)
109	84	1	DEMO SynPuls	PLS (PULSATING)
110	84	1	DEMO 5thPad	SPD (SOFT PAD)
111	84	1	DEMO Choir	VOX (VOX)
112	84	1	DEMO Brass	BRS (AC.BRASS)
113	84	1	DEMO Tenor	SAX (SAX)
114	84	1	DEMO Tpt	BRS (AC.BRASS)
115	84	1	DEMO Flute	FLT (FLUTE)
116	84	1	DEMO Nylon	AGT (AC.GUITAR)
117	84	1	DEMO PhaseGt	EGT (EL.GUITAR)
118	84	1	DEMO DistGt1	DGT (DIST.GUITAR)
119	84	1	DEMO DistGt2	DGT (DIST.GUITAR)
120	84	1	DEMO Strat	EGT (EL.GUITAR)
121	84	1	DEMO SlapBs	BS (BASS)
122	84	1	DEMO P.Bass	BS (BASS)
123	84	1	DEMO SynBs	SBS (SYNTH BASS)
124	84	1	DEMO SynLead	SLD (SOFT LEAD)
125	84	1	DEMO Insect	PLS (PULSATING)
126	84	1	DEMO Buzzzzz	SYN (OTHER SYNTH)
127	84	1	DEMO Crowd	SFX (SOUND FX)
